Province,Cases,Deaths,Recoveries,Active Cases,Tests,Date
Badakhshan,420,7,99,,,2020/9/2
Badghis,638,11,438,,,2020/9/2
Baghlan,653,30,275,,,2020/9/2
Balkh,"1,990",84,"1,126",,,2020/9/2
Bamyan,865,12,707,,,2020/9/2
Dykundi,618,5,257,,,2020/9/2
Farah,322,15,65,,,2020/9/2
Faryab,254,17,237,,,2020/9/2
Ghazni,562,47,398,,,2020/9/2
Ghor,471,13,184,,,2020/9/2
Helmand,207,27,166,,,2020/9/2
Hirat,"6,090",232,"5,858",,,2020/9/2
Jawzjan,196,6,188,,,2020/9/2
Kabul,"14,903",514,"12,308",,,2020/9/2
Kandahar,"1,450",35,980,,,2020/9/2
Kapisa,205,10,193,,,2020/9/2
Khost,425,37,338,,,2020/9/2
Kunar,411,19,320,,,2020/9/2
Kunduz,595,19,253,,,2020/9/2
Laghman,383,4,151,,,2020/9/2
Logar,539,25,514,,,2020/9/2
Nangarhar,"1,426",75,673,,,2020/9/2
Nimroz,389,8,376,,,2020/9/2
Nooristan,84,,38,,,2020/9/2
Paktika,206,6,144,,,2020/9/2
Paktya,"1,206",36,898,,,2020/9/2
Panjsher,293,16,260,,,2020/9/2
Parwan,368,18,223,,,2020/9/2
Samangan,327,13,311,,,2020/9/2
Sar-e-Pul,132,6,124,,,2020/9/2
Takhar,"1,099",35,728,,,2020/9/2
Urozgan,59,4,61,,,2020/9/2
Wardak,320,16,299,,,2020/9/2
Zabul,137,7,125,,,2020/9/2
Badakhshan,420,7,99,,,2020/9/1
Badghis,638,11,438,,,2020/9/1
Baghlan,653,30,275,,,2020/9/1
Balkh,"1,990",84,"1,126",,,2020/9/1
Bamyan,865,12,707,,,2020/9/1
Dykundi,618,5,257,,,2020/9/1
Farah,322,15,65,,,2020/9/1
Faryab,254,17,237,,,2020/9/1
Ghazni,562,47,398,,,2020/9/1
Ghor,471,13,184,,,2020/9/1
Helmand,198,25,148,,,2020/9/1
Hirat,"6,090",232,"5,858",,,2020/9/1
Jawzjan,196,6,188,,,2020/9/1
Kabul,"14,898",514,"12,308",,,2020/9/1
Kandahar,"1,431",35,944,,,2020/9/1
Kapisa,205,10,193,,,2020/9/1
Khost,425,37,338,,,2020/9/1
Kunar,411,19,320,,,2020/9/1
Kunduz,595,19,253,,,2020/9/1
Laghman,381,4,151,,,2020/9/1
Logar,539,25,514,,,2020/9/1
Nangarhar,"1,419",75,673,,,2020/9/1
Nimroz,389,8,376,,,2020/9/1
Nooristan,82,,38,,,2020/9/1
Paktika,206,6,144,,,2020/9/1
Paktya,"1,204",36,898,,,2020/9/1
Panjsher,293,16,260,,,2020/9/1
Parwan,368,18,200,,,2020/9/1
Samangan,327,13,311,,,2020/9/1
Sar-e-Pul,131,6,124,,,2020/9/1
Takhar,"1,099",35,728,,,2020/9/1
Urozgan,59,3,54,,,2020/9/1
Wardak,320,16,299,,,2020/9/1
Zabul,137,7,125,,,2020/9/1
Badakhshan,420,7,99,,,2020/8/31
Badghis,638,11,438,,,2020/8/31
Baghlan,649,30,275,,,2020/8/31
Balkh,"1,987",84,"1,126",,,2020/8/31
Bamyan,865,12,707,,,2020/8/31
Dykundi,608,5,257,,,2020/8/31
Farah,322,15,65,,,2020/8/31
Faryab,254,17,237,,,2020/8/31
Ghazni,557,47,398,,,2020/8/31
Ghor,471,13,184,,,2020/8/31
Helmand,198,25,148,,,2020/8/31
Hirat,"6,090",228,"5,724",,,2020/8/31
Jawzjan,196,6,188,,,2020/8/31
Kabul,"14,894",514,"12,308",,,2020/8/31
Kandahar,"1,431",35,944,,,2020/8/31
Kapisa,205,10,193,,,2020/8/31
Khost,425,37,338,,,2020/8/31
Kunar,411,19,320,,,2020/8/31
Kunduz,594,19,253,,,2020/8/31
Laghman,381,4,151,,,2020/8/31
Logar,539,25,514,,,2020/8/31
Nangarhar,"1,419",75,673,,,2020/8/31
Nimroz,389,8,376,,,2020/8/31
Nooristan,82,,38,,,2020/8/31
